Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2020-01-01,1986.12548828125,2001.0606497895255,1973.6640104342066,1986.4919102234726,1354908
2020-01-02,1977.00830078125,1997.4413569471926,1969.2657918645593,1997.4413569471926,2380752
2020-01-03,2016.40869140625,2036.8876104382339,1982.8271655368144,1982.8271655368144,4655761
2020-01-06,2016.22509765625,2039.5902007629365,2004.7257570733836,2020.3942098134892,3023209
2020-01-07,2021.1727294921875,2029.235800177784,2000.9687467180495,2016.2705507383266,2429317
2020-01-08,2066.4375,2070.789823744596,2017.6915188006956,2020.3944961755903,5197454
2020-01-09,2028.9613037109375,2063.4132396939376,2024.9754029171847,2060.48119335295,3734173
2020-01-10,2028.22802734375,2046.9658752395164,2023.142637658394,2041.4682050284882,1915807
2020-01-13,2006.9708251953125,2033.1762576839992,2001.7937171319238,2032.1684854925993,2843893
2020-01-14,2022.134521484375,2043.117429093336,2011.230899029168,2011.230899029168,2948452
2020-01-15,2040.4605712890625,2044.2174027466453,2010.4983080642698,2027.7243891879543,2620681
2020-01-16,2051.3642578125,2060.7102533498723,2029.5567857581002,2040.5062685979906,3117214
2020-01-17,2033.3133544921875,2064.879098576179,2027.7239671359075,2053.1506910798844,3281059
2020-01-20,1988.645263671875,2054.4797440368934,1975.6797878176324,2011.1397233761356,5817599
2020-01-21,1989.2864990234375,2003.4888158937956,1977.374878422492,1988.2785031845729,1902980
2020-01-22,2022.134521484375,2024.9750737377956,1991.7141262027649,1998.403002634449,1773686
2020-01-23,2012.079345703125,2036.691420790492,2005.4212405060869,2029.390508898953,2069866
2020-01-24,2005.145751953125,2012.0794100148032,1992.839826120521,2012.0794100148032,1319430
2020-01-27,1992.15087890625,2014.3751287605955,1988.2478519451568,2010.9312814419839,1549101
2020-01-28,2005.46728515625,2009.1866854667662,1976.309375,1996.5132812499999,1743024
2020-01-29,1978.697021484375,2008.4058100741709,1974.472479054965,2006.6150542953949,2306761
2020-01-30,1963.3143310546875,1988.2476939769324,1951.513325496989,1983.6558979169395,2098567
2020-01-31,1909.3153076171875,1969.2842260595141,1902.4735743835508,1964.7381673000443,3287223
2020-02-03,1930.85009765625,2015.5227657771138,1922.3093127868121,1976.308875222949,4728073
2020-02-04,1935.671875,1962.2583327231748,1916.2486648821998,1955.1870107341954,3509339
2020-02-05,1971.303466796875,1980.624720540205,1932.50280080838,1942.329196820525,2439322
2020-02-06,1954.5902099609375,1996.6968515837002,1942.7892026437642,1969.8808034369529,2640065
2020-02-07,1962.120361328125,1975.3906067080936,1946.0031127914692,1964.3702964893594,2083442
2020-02-10,1985.44677734375,1990.084536495295,1946.0032915706183,1966.1152698839796,2383032
2020-02-11,1977.594970703125,1997.2479956771433,1972.2686657429656,1986.4113103075783,1335820
2020-02-12,1993.528076171875,2006.614693739743,1974.4721242748044,1975.4824089986396,1620407
2020-02-13,2012.997314453125,2017.6350730495008,1993.7577349069031,1995.5484904258421,1645948
2020-02-14,2005.8807373046875,2031.4111757659405,1993.758436974619,2009.3705481807767,1500115
2020-02-17,2023.374755859375,2036.0021939136432,2011.3901243552061,2017.5890484909378,1774724
